School Code,SASI ID,School Name,First Name,Last Name,Gender,Ethnic Code,Lunch,Qualifying Dimension,Qualifying Dimension Test Name,Qualifying Total Percentile (If DimA),Qualifying Verbal Percentile (DimA) or Reading Score (DimB),Qualifying Non Verbal Percentile (DimA) or Math Score (DimB),"Qualifying Quantitative Percentile (If available, DimA)",Qualifying Dimension Grade Level,Qualifying Dimension Test Administration Date,State ID,No Verbal Score Reason,No NonVerbal Score Reason,Performance Task Qualifier,Verbal Score,NonVerbal Score,Performance Task Administered Grade Level,Counter,,
24-60-001,,,,,,,,A,CogAT,88,97,89,55,3,12/4/2014,99887701,1,1,,0,0,3,0,/  /,F
24-60-001,,,,,,,,A,CogAT,69,55,93,48,3,11/4/2013,99887702,,,V,16,14,4,1,/  /,F
24-60-001,,,,,,,,A,CogAT,87,81,97,60,2,11/4/2013,99887703,,,NV,17,19,3,1,/  /,F
24-60-001,,,,,,,,A,CogAT,62,16,94,60,2,11/4/2013,99887704,,,BOTH,19,18,3,1,/  /,F
24-60-001,,,,,,,,A,CogAT,71,25,99,40,2,11/3/2012,99887705,,,,10,11,4,0,/  /,F
24-60-001,,,,,,,,B,ITBS,0,95,81,0,2,12/5/2014,99887706,,,BOTH,17,16,2,1,/  /,F
24-60-001,,,,,,,,B,PASS,0,671,741,0,3,5/9/2014,99887707,1,1,,0,0,4,0,/  /,F
24-60-001,,,,,,,,B,MAP (Fall),0,74,94,0,2,10/1/2014,99887708,,,V,17,13,2,1,/  /,F
24-60-001,,,,,,,,B,MAP (Winter),0,95,89,0,3,12/18/2014,99887709,,,NV,16,19,3,1,/  /,F
24-60-001,,,,,,,,B,MAP (Spring),0,95,83,0,1,5/15/2013,99887710,,,,17,16,3,0,/  /,F
