codeValue,description,namespace,shortDescription,column_name,data_type,is_deprecated,score_or_performance
Performance Level,Performance Level,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Performance Level,PerformanceLevel,Level,FALSE,performance
Proficiency Level,Proficiency Level,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Proficiency Level,ProficiencyLevel,Number,FALSE,score
Scale Score,Scale Score,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Scale Score,ScaleScore,Number,FALSE,score
Confidence Low Score,Confidence Low Score,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Confidence Low Score,ConfidenceLowScore,Number,FALSE,score
Confidence High Score,Confidence High Score,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Confidence High Score,ConfidenceHighScore,Number,FALSE,score
Cluster,Cluster,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cluster,Cluster,Number,FALSE,score
Tier,Tier,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Tier,Tier,Number,FALSE,score
Domain Termination,Domain Termination,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Domain Termination,Domain Termination,Level,FALSE,score
Status,Status,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Status,Status,Level,FALSE,score
Number of Correct Responses,Number of Correct Responses,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Number of Correct Responses,Number of Correct Responses,Number,FALSE,score
Do Not Score Code Listening,Do Not Score Code Listening,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Do Not Score Code Listening,DoNotScoreCodeListening,Level,FALSE,score
Do Not Score Code Reading,Do Not Score Code Reading,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Do Not Score Code Reading,DoNotScoreCodeReading,Level,FALSE,score
Do Not Score Code Speaking,Do Not Score Code Speaking,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Do Not Score Code Speaking,DoNotScoreCodeSpeaking,Level,FALSE,score
Do Not Score Code Writing,Do Not Score Code Writing,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Do Not Score Code Writing,DoNotScoreCodeWriting,Level,FALSE,score
Cue A Number Correct,Cue A Number Correct,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cue A Number Correct,Cue A Number Correct,Number,FALSE,score
Cue A Percent Correct,Cue A Percent Correct,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cue A Percent Correct,Cue A Percent Correct,Number,FALSE,score
Cue B Number Correct,Cue B Number Correct,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cue B Number Correct,Cue B Number Correct,Number,FALSE,score
Cue B Percent Correct,Cue B Percent Correct,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cue B Percent Correct,Cue B Percent Correct,Number,FALSE,score
Cue C Number Correct,Cue C Number Correct,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cue C Number Correct,Cue C Number Correct,Number,FALSE,score
Cue C Percent Correct,Cue C Number Correct,uri://wida.wisc.edu/assess/access/AssessmentReportingMethodDescriptor,Cue C Number Correct,Cue C Number Correct,Number,FALSE,score
