start_index,end_index,column_name
0,30,Order_Number
30,38,Test
38,68,State_Name
68,98,Region_Name
98,113,Region_Code
113,143,System_Name
143,158,System_Code
158,188,District_Name
188,203,District_Code
203,233,Building_Name
233,248,Building_Code
248,278,Class_Name
278,293,Class_Code
293,295,Class_Grade
295,303,Date_Tested
303,323,Student_Last_Name
323,343,Student_First_Name
343,363,Student_NameMiddle_Initial
363,403,GUID
403,414,Student_ID
414,434,Secondary_Student_ID
434,435,Gender
435,443,Date_of_Birth
443,447,Age_in_Months
447,451,Age_in_Years_Months
451,465,Ethnicity_String
465,466,Filler0
466,467,Battery
467,469,Level
469,470,Form
470,472,Norm_Year
472,479,Quartermonth
479,480,Semester
480,481,Home_Reporting
481,502,Programs_String
502,505,Other_Info_Field_1_Value
505,508,Other_Info_Field_2_Value
508,511,Other_Info_Field_3_Value
511,514,Other_Info_Field_4_Value
514,515,Filler1
515,545,Office_Use_Subtest_Exclusion
545,546,Filler2
546,547,Office_Use_Only_Z_Value
547,567,Code_Character_String_A_T
567,577,Filler3
577,578,Test_Administrator_Use_A_Value
578,588,Filler4
588,589,Test_Administrator_Use_B_Value
589,599,Filler5
599,600,Test_Administrator_Use_C_Value
600,610,Filler6
610,611,Test_Administrator_Use_D_Value
611,621,Filler7
621,622,Test_Administrator_Use_E_Value
622,632,Filler8
632,633,Test_Administrator_Use_F_Value
633,635,Test_Administrator_Use_G_Value
635,637,Test_Administrator_Use_H_Value
637,639,Test_Administrator_Use_I_Value
639,641,Test_Administrator_Use_J_Value
641,643,Test_Administrator_Use_K_Value
643,645,Test_Administrator_Use_L_Value
645,647,Test_Administrator_Use_M_Value
647,657,Filler9
657,658,Test_Administrator_Use_N_Value
658,668,Filler10
668,669,Test_Administrator_Use_O_Value
669,679,Filler11
679,680,Test_Administrator_Use_P_Value
680,690,Filler12
690,691,Test_Administrator_Use_Q_Value
691,701,Filler13
701,702,Test_Administrator_Use_R_Value
702,712,Filler14
712,713,Test_Administrator_Use_S_Value
713,753,Filler15
753,813,Number_Attempted_NA
813,843,Completion_Criteria_CC
843,903,Raw_Score_RS
903,993,Universal_Scale_Score_USS
993,1113,Filler16
1113,1203,Standard_Age_Score_SAS
1203,1263,Grade_Percentile_Rank_GPR
1263,1323,Age_Percentile_Rank_APR
1323,1383,Filler17
1383,1413,Grade_Stanine_GS
1413,1443,Age_Stanine_AS
1443,1473,Filler18
1473,1503,SAS_Valid_Flags
1503,1533,TMO_Flags
1533,1563,Extremely_Variable_Flags
1563,1593,Chance_Flags
1593,1603,Ability_Profile
1603,1693,Filler19
1693,1813,Filler20
1813,1873,Filler21
1873,1993,Filler22
1993,2113,Filler23
2113,2203,Filler24
2203,2263,Local_Percentile_Rank
2263,2293,Local_Stanines
2293,2353,Filler25
2353,2413,Filler26
2413,2416,Filler27
2416,2419,Filler28
2419,2422,Filler29
2422,2425,Filler30
2425,2428,Filler31
2428,2431,Filler32
2431,2641,Raw_Score_Personal_Standard_Error
2641,2851,Raw_Score_Upper_Bound
2851,3061,Raw_Score_Lower_Bound
3061,3241,SAS_Upper_Bound
3241,3421,SAS_Lower_Bound
3421,3481,Filler33
3481,3485,Filler34
3485,3489,Filler35
3489,3493,Filler36
3493,3494,Filler37
3494,3498,Filler38
3498,3499,Filler39
3499,3589,Filler40
3589,3679,Filler41
3679,3769,Filler42
3769,3949,Filler43
3949,4029,Filler44
4029,4149,Filler45
4149,4179,Filler46
4179,4399,Item_Responses_1_220
4399,4619,Item_Responses_221_440
4619,4839,Item_Responses_441_660
4839,4929,Filler47
4929,5049,Filler48
5049,5109,Filler49
5109,5139,Filler50
5139,5159,Mode_of_Administration_String
5159,5199,TestInstance_GUID
5199,5319,Filler51
5319,5439,Filler52
5439,5559,Filler53
5559,5679,Filler54
5679,5682,Administration_Language
