assessmentIdentifier,edfi_descriptor
cambridge_aice_diploma,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
cambridge_A_9689,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9844,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9868,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_8101,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_8102,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9084,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9093,uri://ed-fi.org/AcademicSubjectDescriptor#English
cambridge_A_9231,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
cambridge_A_9239,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9274,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
cambridge_A_9395,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9479,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9481,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9482,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9483,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
cambridge_A_9484,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_A_9487,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_A_9488,uri://ed-fi.org/AcademicSubjectDescriptor#Religious Education and Theology
cambridge_A_9489,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
cambridge_A_9607,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9609,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9618,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9626,uri://ed-fi.org/AcademicSubjectDescriptor#Other
cambridge_A_9680,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
cambridge_A_9693,uri://ed-fi.org/AcademicSubjectDescriptor#Life and Physical Sciences
cambridge_A_9694,uri://ed-fi.org/AcademicSubjectDescriptor#Other
