descriptor,namespace,codevalue,shortdescription,description,effectivebegindate,effectiveenddate,date submitted to EA,notes
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Transportation,Transportation,Transportation,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Speech and Language (Special Education),Speech and Language (Special Education),Speech and Language (Special Education),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Reading,Reading,Reading,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Functional Academics,Functional Academics,Functional Academics,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Written Expression,Written Expression,Written Expression,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Nursing,Nursing,Nursing,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Math,Math,Math,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Functional Communication,Functional Communication,Functional Communication,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Occupational Therapy,Occupational Therapy,Occupational Therapy,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Social/Emotional,Social/Emotional,Social/Emotional,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Daily Living,Daily Living,Daily Living,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Transition,Transition,Transition,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Organization/Study Skills,Organization/Study Skills,Organization/Study Skills,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Speech and Language (Related Service),Speech and Language (Related Service),Speech and Language (Related Service),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Hearing Services,Hearing Services,Hearing Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Pre-Academic Readiness,Pre-Academic Readiness,Pre-Academic Readiness,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Counseling,Counseling,Counseling,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Behavior,Behavior,Behavior,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Adapted Physical Education,Adapted Physical Education,Adapted Physical Education,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Physical Therapy,Physical Therapy,Physical Therapy,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Audiological Services,Audiological Services,Audiological Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Nursing Services,Nursing Services,Nursing Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Sensory,Sensory,Sensory,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Medication Administration,Medication Administration,Medication Administration,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Hearing,Hearing,Hearing,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Vision (Special Education),Vision (Special Education),Vision (Special Education),11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Orientation and Mobility,Orientation and Mobility,Orientation and Mobility,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Adaptive Physical Education,Adaptive Physical Education,Adaptive Physical Education,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Behavior Services,Behavior Services,Behavior Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Occupational Therapy Services,Occupational Therapy Services,Occupational Therapy Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Assistive Technology,Assistive Technology,Assistive Technology,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Fine Motor,Fine Motor,Fine Motor,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Orientation and Mobility Services,Orientation and Mobility Services,Orientation and Mobility Services,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Interpreter,Interpreter,Interpreter,11/1/2025,,,
servicePrescriptionDescriptors,uri://sedm.sc.gov/ServicePrescriptionDescriptor,Gross Motor,Gross Motor,Gross Motor,11/1/2025,,,
