DistrictCode,TestAdministration,DateTaken,SchoolCode,ID,StudentID,GradeLevel,TextReading,TextReadingAccuracy,Comprehension,LexileLevel,TransferItemID,FluencyLevel,WordsPerMinute,ComprehensionLevel,TextReadingAccuracy2,Comprehension2,Genre,Source,SelfCorrectionRate,Meaning,Visual,EarlyLiteracyBehaviors,LetterRecognition,InitialSounds,HighFrequencyWords,WordWriting,RhymingAssessment,WasStudentTested
1234,,9/25/2018,1,,1,01,F,93,NULL,26-199,,2,NULL,Approaching Proficiency,93,6,Nonfiction,Manually Entered,3.200000048,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,9/25/2018,1,,2,03,P,95,50,500-699,,2,NULL,Limited Proficiency,95,1,Fiction,Manually Entered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,9/25/2018,1,,3,01,H,90,NULL,26-199,,2,NULL,Proficient,90,6,Nonfiction,Manually Entered,4.099999905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,9/25/2018,1,,4,04,R,NULL,NULL,700-749,,1,NULL,NULL,99,3,NULL,Manually Entered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,9/30/2016,2,,5,04,R,NULL,NULL,700-749,,3,NULL,NULL,99,3,NULL,Manually Entered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,5/26/2017,2,,6,04,M,NULL,NULL,300-499,,3,NULL,Satisfactory,98,8,Nonfiction,Manually Entered,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,5/30/2017,2,,7,04,R,NULL,NULL,700-749,,3,NULL,Excellent,100,9,Nonfiction,Manually Entered,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,1/25/2017,2,,8,04,S,NULL,NULL,700-749,,2,NULL,NULL,98,4,NULL,Manually Entered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,5/23/2018,2,,9,04,U,NULL,NULL,750-949,,3,NULL,NULL,100,3,NULL,Manually Entered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,,5/26/2017,2,,10,04,P,95,80,500-699,,1,31,Satisfactory,95,8,Fiction,Manually Entered,1.110000014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
