from,to
01,Other Assessment OR Duplicate
02,Interrupted and Not Completed
03,Withdrew Before/During Testing
04,Student Test Refusal
05,Non-approved Accommodation
06,Misadministration
07,Medical Exemption
08,Part Time Public/Home School
09,Parent Excuse
10,State Use Only 10
1,Other Assessment OR Duplicate
2,Interrupted and Not Completed
3,Withdrew Before/During Testing
4,Student Test Refusal
5,Non-approved Accommodation
6,Misadministration
7,Medical Exemption
8,Part Time Public/Home School
9,Parent Excuse
