codeValue,description,namespace,shortDescription
Assign,Student test assigned and all units are in an assign status.,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Assign
Attempt,Student Test assigned and all units are in a complete status,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Attempt
Y,Yes,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Y
N,No,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,N
Absent,The student was absent on the day of the test,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Absent
Other Assessment OR Duplicate,The student took another assessment OR this was a duplicate registration/attempt,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Other Assessment OR Duplicate
1st Year in US English Learner,The student is learning English and is in their first year in the U.S.,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,1st Year in US English Learner
Interrupted and Not Completed,The test was interrupted and not completed,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Interrupted and Not Completed
Withdrew Before/During Testing,The student withdrew from the test before or during testing,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Withdrew Before/During Testing
Student Test Refusal,The student refused to take the test,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Student Test Refusal
State Use Only 05,Indicator for state use only,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,State Use Only 05
State Use Only 10,Indicator for state use only,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,State Use Only 10
Non-approved Accommodation,The student had a non-approved accommodation for taking the test,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Non-approved Accommodation
Misadministration,The test was misadministered,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Misadministration
Medical Exemption,The student had a medical exemption for the test,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Medical Exemption
Part Time Public/Home School,The student is home schooled and attends public school part time,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Part Time Public/Home School
Parent Excuse,The student was excused from the test by a parent,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Parent Excuse
Valid Score,The test score is valid,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Valid Score
Not Attempted,The student did not attempt the test,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Not Attempted
Home School Student,The student is home schooled,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Home School Student
Off Grade Tester/State Use,The student took an off-grade test,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Off Grade Tester/State Use
Included on Roster; Excluded from Aggregated,The student record receives a Student Performance Report (SPR) and the student record is included on the Roster Report. Excluded from all Aggregated Reports (Growth and Performance views for School; District; State).,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Included on Roster; Excluded from Aggregated
Summative on Roster; Excluded from Aggregated,The student record receives a Student Performance Report (SPR) with a summative score and the student record is included on the Roster Report with a summative score. The student is excluded from all Aggregate reports (Performance views for School; State; District).,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Summative on Roster; Excluded from Aggregated
Excluded from Roster and Aggregated,The student record only receives a Student Performance Report (SPR). The student record is excluded from the Roster Report and all Aggregated Reports (Growth and Performance views for School; District; State).,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Excluded from Roster and Aggregated
Did not yet meet expectations,The student did not yet meet expectations,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Did not yet meet expectations
Partially met expectations,The student partially met expectations,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Partially met expectations
Approached expectations,The student approached expectations,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Approached expectations
Met expectations,The student met expectations,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Met expectations
Exceeded expectations,The student exceeded expectations,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Exceeded expectations
Lower than Average,Lower than Average,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Lower than Average
Average,Average,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Average
Higher than Average,Higher than Average,uri://www.cde.state.co.us/assessment/cmas/PerformanceLevelDescriptor,Higher than Average
