Assessment,identificationCode,assessmentTitle,namespace,description
STAMP 4S,Reading,STAMP,uri://avantassessment.com,Reading
STAMP 4S,Writing,STAMP,uri://avantassessment.com,Writing
STAMP 4S,Listening,STAMP,uri://avantassessment.com,Listening
STAMP 4S,Speaking,STAMP,uri://avantassessment.com,Speaking
STAMP WS,Writing,STAMP,uri://avantassessment.com,Writing
STAMP WS,Speaking,STAMP,uri://avantassessment.com,Speaking
STAMP Latin,Reading,STAMP,uri://avantassessment.com,Reading
STAMP Monolingual,Writing,STAMP,uri://avantassessment.com,Writing
STAMP Monolingual,Speaking,STAMP,uri://avantassessment.com,Speaking
STAMP ASL,Expressive,STAMP,uri://avantassessment.com,Expressive
STAMP ASL,Receptive,STAMP,uri://avantassessment.com,Receptive
