objective,level,codevalue,namespace,shortDescription,description
Reading,1,1-Novice-Low,uri://avantassessment.com,Novice-Low,Novice-Low
Reading,2,2-Novice-Mid,uri://avantassessment.com,Novice-Mid,Novice-Mid
Reading,3,3-Novice-High,uri://avantassessment.com,Novice-High,Novice-High
Reading,4,4-Intermediate-Low,uri://avantassessment.com,Intermediate-Low,Intermediate-Low
Reading,5,5-Intermediate-Mid,uri://avantassessment.com,Intermediate-Mid,Intermediate-Mid
Reading,6,6-Intermediate-High,uri://avantassessment.com,Intermediate-High,Intermediate-High
Reading,7,7-Advanced-Low,uri://avantassessment.com,Advanced-Low,Advanced-Low
Reading,8,8-Advanced-Mid,uri://avantassessment.com,Advanced-Mid,Advanced-Mid
Reading,9,9-Advanced-High,uri://avantassessment.com,Advanced-High,Advanced-High
Reading,NS,NS-Section Not Started,uri://avantassessment.com,Section Not Started,"The test taker has not started this section of the test."
Reading,IP,IP-Section In Progress,uri://avantassessment.com,Section In Progress,"The test taker has started, but not completed, this section of the test."
Reading,SP,SP-Scoring In progress,uri://avantassessment.com,Scoring In progress,"This section of the test is complete, but the rating is not complete for one or more responses."
Reading,NR,NR-Not Ratable,uri://avantassessment.com,Not Ratable,"A rater is not able to rate any of the responses in the section."
Writing,1,1-Novice-Low,uri://avantassessment.com,Novice-Low,Novice-Low
Writing,2,2-Novice-Mid,uri://avantassessment.com,Novice-Mid,Novice-Mid
Writing,3,3-Novice-High,uri://avantassessment.com,Novice-High,Novice-High
Writing,4,4-Intermediate-Low,uri://avantassessment.com,Intermediate-Low,Intermediate-Low
Writing,5,5-Intermediate-Mid,uri://avantassessment.com,Intermediate-Mid,Intermediate-Mid
Writing,6,6-Intermediate-High,uri://avantassessment.com,Intermediate-High,Intermediate-High
Writing,7,7-Advanced-Low,uri://avantassessment.com,Advanced-Low,Advanced-Low
Writing,8,8-Advanced-Mid/High,uri://avantassessment.com,Advanced-Mid/High,Advanced-Mid/High
Writing,NS,NS-Section Not Started,uri://avantassessment.com,Section Not Started,"The test taker has not started this section of the test."
Writing,IP,IP-Section In Progress,uri://avantassessment.com,Section In Progress,"The test taker has started, but not completed, this section of the test."
Writing,SP,SP-Scoring In progress,uri://avantassessment.com,Scoring In progress,"This section of the test is complete, but the rating is not complete for one or more responses."
Writing,NR,NR-Not Ratable,uri://avantassessment.com,Not Ratable,"A rater is not able to rate any of the responses in the section."
Listening,1,1-Novice-Low,uri://avantassessment.com,Novice-Low,Novice-Low
Listening,2,2-Novice-Mid,uri://avantassessment.com,Novice-Mid,Novice-Mid
Listening,3,3-Novice-High,uri://avantassessment.com,Novice-High,Novice-High
Listening,4,4-Intermediate-Low,uri://avantassessment.com,Intermediate-Low,Intermediate-Low
Listening,5,5-Intermediate-Mid,uri://avantassessment.com,Intermediate-Mid,Intermediate-Mid
Listening,6,6-Intermediate-High,uri://avantassessment.com,Intermediate-High,Intermediate-High
Listening,7,7-Advanced-Low,uri://avantassessment.com,Advanced-Low,Advanced-Low
Listening,8,8-Advanced-Mid,uri://avantassessment.com,Advanced-Mid,Advanced-Mid
Listening,9,9-Advanced-High,uri://avantassessment.com,Advanced-High,Advanced-High
Listening,NS,NS-Section Not Started,uri://avantassessment.com,Section Not Started,"The test taker has not started this section of the test."
Listening,IP,IP-Section In Progress,uri://avantassessment.com,Section In Progress,"The test taker has started, but not completed, this section of the test."
Listening,SP,SP-Scoring In progress,uri://avantassessment.com,Scoring In progress,"This section of the test is complete, but the rating is not complete for one or more responses."
Listening,NR,NR-Not Ratable,uri://avantassessment.com,Not Ratable,"A rater is not able to rate any of the responses in the section."
Speaking,1,1-Novice-Low,uri://avantassessment.com,Novice-Low,Novice-Low
Speaking,2,2-Novice-Mid,uri://avantassessment.com,Novice-Mid,Novice-Mid
Speaking,3,3-Novice-High,uri://avantassessment.com,Novice-High,Novice-High
Speaking,4,4-Intermediate-Low,uri://avantassessment.com,Intermediate-Low,Intermediate-Low
Speaking,5,5-Intermediate-Mid,uri://avantassessment.com,Intermediate-Mid,Intermediate-Mid
Speaking,6,6-Intermediate-High,uri://avantassessment.com,Intermediate-High,Intermediate-High
Speaking,7,7-Advanced-Low,uri://avantassessment.com,Advanced-Low,Advanced-Low
Speaking,8,8-Advanced-Mid/High,uri://avantassessment.com,Advanced-Mid/High,Advanced-Mid/High
Speaking,NS,NS-Section Not Started,uri://avantassessment.com,Section Not Started,"The test taker has not started this section of the test."
Speaking,IP,IP-Section In Progress,uri://avantassessment.com,Section In Progress,"The test taker has started, but not completed, this section of the test."
Speaking,SP,SP-Scoring In progress,uri://avantassessment.com,Scoring In progress,"This section of the test is complete, but the rating is not complete for one or more responses."
Speaking,NR,NR-Not Ratable,uri://avantassessment.com,Not Ratable,"A rater is not able to rate any of the responses in the section."
