identificationCode,assessmentIdentifier,namespace,description
General - Show Me Book,Dominie,uri://pearson.com/,General - Show Me Book
General - Name Writing,Dominie,uri://pearson.com/,General - Name Writing
General - Letter Know,Dominie,uri://pearson.com/,General - Letter Know
General - Phoneme Segmentation,Dominie,uri://pearson.com/,General - Phoneme Segmentation
General - Phoneme Deletion,Dominie,uri://pearson.com/,General - Phoneme Deletion
General - Core Rdg.,Dominie,uri://pearson.com/,General - Core Rdg.
General - Core Wtg. Vocab.,Dominie,uri://pearson.com/,General - Core Wtg. Vocab.
General - Non. Fic. Show Me Book,Dominie,uri://pearson.com/,General - Non. Fic. Show Me Book
Sentence Writing & Spelling - Phonemes,Dominie,uri://pearson.com/,Sentence Writing & Spelling - Phonemes
Sentence Writing & Spelling - Spelling,Dominie,uri://pearson.com/,Sentence Writing & Spelling - Spelling
Dominie Text Reading - Benchmark or Bridge Level,Dominie,uri://pearson.com/,Dominie Text Reading - Benchmark or Bridge Level
Dominie Text Reading - Equated Level,Dominie,uri://pearson.com/,Dominie Text Reading - Equated Level
Dominie Text Reading - ACC%,Dominie,uri://pearson.com/,Dominie Text Reading - ACC%
Dominie Text Reading - Self Correction Rate,Dominie,uri://pearson.com/,Dominie Text Reading - Self Correction Rate
Dominie Text Reading - WCPM,Dominie,uri://pearson.com/,Dominie Text Reading - WCPM
Dominie Text Reading - Fluency Rubric,Dominie,uri://pearson.com/,Dominie Text Reading - Fluency Rubric
Dominie Text Reading - COMP%,Dominie,uri://pearson.com/,Dominie Text Reading - COMP%
Dominie Text Reading - % Meaning,Dominie,uri://pearson.com/,Dominie Text Reading - % Meaning
Dominie Text Reading - % Visual,Dominie,uri://pearson.com/,Dominie Text Reading - % Visual
Phonics / Forms A & B - Onsets,Dominie,uri://pearson.com/,Phonics / Forms A & B - Onsets
Phonics / Forms A & B - Rimes,Dominie,uri://pearson.com/,Phonics / Forms A & B - Rimes
Story Writing - Conventions,Dominie,uri://pearson.com/,Story Writing - Conventions
Story Writing - Message,Dominie,uri://pearson.com/,Story Writing - Message
Spelling Inventory - Spelling Inventory,Dominie,uri://pearson.com/,Spelling Inventory - Spelling Inventory
